 Ca Density=1.55
 Energy(eV), Delta, Beta
  30. -0.287221521  0.0555030331
  30.4181843 -0.318612337  0.18598035
  30.8421955 -0.263163805  0.237896383
  31.2721214 -0.215957761  0.26247716
  31.7080383 -0.177616358  0.276649803
  32.150032 -0.147654995  0.287624508
  32.5981827 -0.117535606  0.297363609
  33.0525818 -0.0889777616  0.300677776
  33.5133171 -0.063781783  0.299705088
  33.9804764 -0.0417061411  0.298736423
  34.4541473 -0.0206589848  0.297470272
  34.9344177  0.00125623436  0.293918729
  35.4213829  0.0200906731  0.288189948
  35.9151382  0.0381451212  0.282473475
  36.4157791  0.0570713878  0.275185496
  36.9233932  0.074817352  0.26590544
  37.4380875  0.0904713497  0.255099446
  37.9599533  0.105274953  0.243455961
  38.4890938  0.118569307  0.23133482
  39.0256119  0.133812174  0.219396964
  39.5696068  0.145432591  0.198458418
  40.1211853  0.151661858  0.177941263
  40.6804543  0.15407148  0.159545451
  41.2475166  0.154275328  0.143051103
  41.8224831  0.153034225  0.128261924
  42.405468  0.150833666  0.115001254
  42.9965744  0.148049578  0.103111431
  43.5959282  0.144770712  0.0917491168
  44.2036324  0.140731946  0.0814108849
  44.8198051  0.136199966  0.0721881911
  45.4445686  0.131419256  0.0640105829
  46.0780411  0.126530513  0.0567592531
  46.7203445  0.121624768  0.0503289513
  47.3715973  0.11676459  0.0446274504
  48.0319328  0.112009585  0.039571926
  48.7014732  0.107411996  0.0350891054
  49.3803444  0.103052944  0.0311140828
  50.0686798  0.0990959629  0.0273700692
  50.7666092  0.0953011811  0.0236854628
  51.4742699  0.0911203548  0.020166155
  52.1917915  0.0868296251  0.0171696972
  52.9193192  0.0826366097  0.0146186845
  53.6569862  0.0786092654  0.0124450056
  54.4049339  0.0747395083  0.0105611617
  55.163311  0.0710267127  0.00894823391
  55.9322586  0.0674744546  0.00758164702
  56.7119217  0.0640827864  0.00642371178
  57.5024567  0.0608407594  0.00544534251
  58.3040123  0.0577501729  0.00470209308
  59.1167336  0.0548904799  0.00409891689
  59.9407921  0.0521941893  0.00357834063
  60.7763329  0.0496002287  0.00315809925
  61.6235237  0.0471413136  0.00285716495
  62.4825172  0.044859983  0.00265790313
  63.3534927  0.0427039638  0.00250306004
  64.2366028  0.0406954996  0.00242156559
  65.1320343  0.0388307124  0.00238425448
  66.0399323  0.0370578393  0.0023607777
  66.960495  0.0353906229  0.00239274697
  67.8938904  0.0338334665  0.00246191258
  68.8402939  0.03237921  0.00254203705
  69.7998886  0.0310201459  0.00264959619
  70.7728577  0.0297634285  0.00276490557
  71.7593994  0.0286188498  0.00287654041
  72.7596817  0.0275370348  0.00295412214
  73.7739182  0.0265071951  0.00302404538
  74.8022842  0.0255309269  0.00309560983
  75.844986  0.0246145017  0.00316362362
  76.9022217  0.0237560067  0.00321869459
  77.9741974  0.0229276419  0.00325796404
  79.0611115  0.022134237  0.00329768588
  80.1631851  0.0213781875  0.00333791273
  81.2806168  0.0206589065  0.0033786248
  82.4136276  0.019977361  0.00341983582
  83.5624237  0.019336734  0.00345615088
  84.7272415  0.0187332574  0.00348027959
  85.9082947  0.0181472041  0.00349240913
  87.1058121  0.0175822489  0.00350455241
  88.320015  0.0170420818  0.00351674785
  89.5511475  0.0165264085  0.00352899334
  90.7994385  0.0160356481  0.00354127935
  92.0651398  0.0155710652  0.00355360843
  93.3484802  0.0151371593  0.00356385414
  94.649704  0.0147378687  0.00356391491
  95.9690704  0.0143463304  0.00352673302
  97.3068314  0.013958226  0.00348993437
  98.6632385  0.0135788992  0.00345352874
  100.038544  0.0132108517  0.00341750169
  101.433029  0.0128552942  0.00338185113
  102.846954  0.0125133134  0.00334657379
  104.280579  0.0121864453  0.00331030064
  105.734192  0.0118764807  0.00326632871
  107.208076  0.0115703326  0.00321600423
  108.702492  0.0112707987  0.00316632958
  110.217751  0.0109798927  0.00311742886
  111.754128  0.0106984302  0.00306928367
  113.311913  0.0104271928  0.00302188238
  114.891418  0.0101685142  0.00297482661
  116.492943  0.00992703997  0.00292619062
  118.116798  0.00968749914  0.00285600778
  119.763275  0.00944602676  0.00278749038
  121.432716  0.00920657441  0.00272062095
  123.125427  0.00897018146  0.00265536085
  124.841721  0.00873606745  0.00259289588
  126.581955  0.00850541797  0.00253518787
  128.346436  0.0082837427  0.002483377
  130.135513  0.00807003304  0.00243261806
  131.949539  0.00786323939  0.00238289218
  133.788834  0.00766292866  0.00233419449
  135.653778  0.00746891974  0.00228648703
  137.544724  0.00728114834  0.00223975186
  139.462021  0.00709964242  0.0021939748
  141.406052  0.00692458637  0.00214913324
  143.377167  0.00675683003  0.00210520718
  145.375778  0.00660270359  0.00205654232
  147.402222  0.00644719647  0.00200116006
  149.45694  0.00629099319  0.00194543961
  151.540268  0.00613622461  0.00189127016
  153.652664  0.00598427234  0.00183860667
  155.794495  0.00583545212  0.00178741338
  157.966202  0.0056900247  0.00173764431
  160.168167  0.00554831  0.00168926036
  162.400818  0.00541069079  0.0016422238
  164.664597  0.00527789723  0.00159650005
  166.95993  0.00515262038  0.00155037385
  169.287262  0.00503127975  0.00149941514
  171.647034  0.00490790932  0.00144240411
  174.039703  0.00478295796  0.00138756132
  176.465729  0.00465773977  0.00133479922
  178.925552  0.00453352835  0.00128404773
  181.419678  0.00441071764  0.00123522501
  183.948563  0.00428941939  0.00118842465
  186.512726  0.00416999357  0.00114368345
  189.112595  0.00405274471  0.00110085192
  191.748734  0.00393761927  0.00105962181
  194.4216  0.00382448314  0.00101993897
  197.131729  0.00371324597  0.000981737394
  199.879639  0.00360399764  0.000944969303
  202.665863  0.00349664432  0.000909577822
  205.490906  0.00339079695  0.00087551371
  208.355347  0.00328639103  0.000843403395
  211.259705  0.00318406522  0.000814112544
  214.204544  0.00308505143  0.000786628982
  217.190445  0.00298866141  0.000760070165
  220.217957  0.00289465138  0.000734407513
  223.287674  0.00280291168  0.000709611457
  226.400192  0.00271340227  0.000685653824
  229.556091  0.00262628519  0.000662505685
  232.755981  0.00254151458  0.000639674719
  236.000458  0.00245816121  0.000615710393
  239.290176  0.00237535918  0.000592549331
  242.625763  0.00229354738  0.000570261036
  246.007828  0.0022129782  0.000548810873
  249.437057  0.00213406584  0.000528167584
  252.914062  0.00205657235  0.000507490826
  256.439545  0.00197968702  0.000486283767
  260.01416  0.00190259516  0.00046551117
  263.638641  0.00182534987  0.000445625716
  267.313599  0.00174795068  0.000426591636
  271.039825  0.00167018129  0.00040836932
  274.817963  0.00159256416  0.000392145244
  278.648773  0.00151545031  0.000377405377
  282.53299  0.00143878057  0.000363284256
  286.471375  0.00136213563  0.000349691749
  290.4646  0.00128484785  0.000336607918
  294.513519  0.0012058795  0.000324011431
  298.618896  0.00112521462  0.000311884767
  302.781494  0.00104212202  0.000300210755
  307.002106  0.000955682539  0.000288973562
  311.281525  0.000864611997  0.000278170221
  315.620605  0.000767198566  0.000267869502
  320.020203  0.000661429949  0.000258302927
  324.48111  0.000538979657  0.000249076897
  329.004181  0.00039316609  0.000240180365
  333.590363  0.00020582162  0.000231601764
  338.240417 -7.58604292E-05  0.000223329509
  342.955322 -0.00108753657  0.000215352949
  347.735901 -0.00125681912  0.00195548544
  352.58316 -7.91002094E-05  0.00187999161
  357.497986  0.000241109708  0.00180741108
  362.481323  0.000437540351  0.00173763395
  367.534119  0.000573932077  0.00167054788
  372.657349  0.00067338621  0.00160604902
  377.85199  0.000747726357  0.00154404086
  383.119019  0.000803506817  0.00148451398
  388.459473  0.000844402006  0.00142758444
  393.87439  0.000871794182  0.00137346156
  399.364807  0.000889994029  0.00133011991
  404.931732  0.000906206609  0.00129147759
  410.576233  0.000921239785  0.0012547212
  416.299469  0.000934597105  0.00121901592
  422.102448  0.000945972221  0.00118432904
  427.986359  0.000955740979  0.00115062762
  433.95224  0.00096431066  0.0011178836
  440.001282  0.000972579233  0.00108605588
  446.134674  0.000982947531  0.00105402584
  452.353577  0.000992229674  0.00101833546
  458.659119  0.00099893508  0.000979496515
  465.052582  0.00100182137  0.000939236605
  471.535156  0.00100022194  0.000899195089
  478.108093  0.000995534123  0.000860860571
  484.772644  0.000988458632  0.000824173563
  491.530151  0.000979722594  0.000789052574
  498.381775  0.000969672634  0.000755419722
  505.328979  0.000958537916  0.000723216333
  512.372986  0.000946534623  0.000692378497
  519.515198  0.000933832373  0.000662826817
  526.756958  0.000920519873  0.000634472002
  534.09967  0.000906654692  0.000607210735
  541.544739  0.000892292417  0.000581071421
  549.093506  0.000877721002  0.000556050683
  556.74762  0.000862928166  0.000531845842
  564.508362  0.000847752497  0.000508449215
  572.377319  0.000832172984  0.000486025179
  580.355957  0.000816412328  0.000464694807
  588.445801  0.000800579845  0.000444341102
  596.648438  0.000784710806  0.000424905564
  604.965332  0.000768906029  0.000406327192
  613.398315  0.000753195025  0.000388562999
  621.948669  0.000737686816  0.000371565577
  630.618347  0.000722403405  0.000355209428
  639.408813  0.000707259285  0.000339329214
  648.321838  0.000692192465  0.000323844375
  657.35907  0.000676923199  0.000308831513
  666.522278  0.000661342638  0.000294510653
  675.813293  0.000645738794  0.000281258632
  685.233704  0.000630509807  0.000269005628
  694.785522  0.000615869591  0.000257508451
  704.470398  0.000601816631  0.000246435666
  714.290344  0.000588223804  0.000235422849
  724.247192  0.000574628182  0.000224585761
  734.342834  0.000561034423  0.000214247615
  744.579163  0.000547606731  0.000204389013
  754.958191  0.00053439819  0.000194985798
  765.481934  0.000521427137  0.000186003308
  776.152344  0.000508697529  0.000177397407
  786.971436  0.000496203429  0.00016912556
  797.941406  0.000483885204  0.000161183838
  809.06427  0.000471744104  0.000153615256
  820.342224  0.000459823554  0.000146402352
  831.777283  0.000448129897  0.000139528172
  843.371826  0.000436667673  0.0001329808
  855.127991  0.000425441278  0.000126747953
  867.047974  0.000414454495  0.000120814366
  879.134155  0.00040371067  0.000115165079
  891.388855  0.000393206632  0.000109780362
  903.814331  0.000382942526  0.000104647224
  916.413025  0.0003729171  9.97537572E-05
  929.187317  0.000363126746  9.50859612E-05
  942.139648  0.000353566778  9.06334317E-05
  955.272583  0.000344233442  8.63882669E-05
  968.588562  0.000335125311  8.23408845E-05
  982.09021  0.000326239824  7.84824515E-05
  995.779968  0.000317572703  7.48006787E-05
  1009.66058  0.00030913722  7.12873589E-05
  1023.7348  0.000300911517  6.79118093E-05
  1038.005  0.000292878365  6.46722692E-05
  1052.47424  0.000285030255  6.15781755E-05
  1067.14514  0.000277365034  5.86238821E-05
  1082.02051  0.000269878714  5.58111824E-05
  1097.10339  0.000262574235  5.31334663E-05
  1112.39636  0.000255452178  5.05838216E-05
  1127.90259  0.000248509255  4.81566603E-05
  1143.62488  0.000241742149  4.58464747E-05
  1159.56641  0.000235148022  4.36474766E-05
  1175.73022  0.000228724486  4.15538525E-05
  1192.11926  0.000222467104  3.95601128E-05
  1208.73682  0.000216370783  3.76619719E-05
  1225.58594  0.000210434504  3.5854715E-05
  1242.66992  0.000204653727  3.41345039E-05
  1259.99194  0.00019902573  3.24973262E-05
  1277.55554  0.000193547457  3.09388379E-05
  1295.36401  0.000188215243  2.94549245E-05
  1313.42078  0.000183025812  2.80421282E-05
  1331.72913  0.000177974885  2.66971547E-05
  1350.29272  0.000173060718  2.54166025E-05
  1369.11511  0.000168279221  2.41974412E-05
  1388.19983  0.00016362757  2.30367586E-05
  1407.55054  0.000159103016  2.19317008E-05
  1427.17102  0.000154702968  2.08795882E-05
  1447.06506  0.000150425709  1.98777361E-05
  1467.23621  0.000146268576  1.89203492E-05
  1487.68884  0.000142234116  1.80036241E-05
  1508.42639  0.000138305521  1.71126558E-05
  1529.453  0.000134473288  1.62579545E-05
  1550.77271  0.000130736575  1.54447534E-05
  1572.38977  0.00012709701  1.4672175E-05
  1594.30786  0.000123553444  1.39379954E-05
  1616.53174  0.00012010432  1.32407285E-05
  1639.06531  0.000116747549  1.25787446E-05
  1661.91296  0.00011348234  1.19496162E-05
  1685.0791  0.000110306071  1.13518181E-05
  1708.56824  0.000107216467  1.07837805E-05
  1732.38477  0.000104211409  1.02436024E-05
  1756.53333  0.000101288555  9.72947601E-06
  1781.01831  9.84454164E-05  9.24081814E-06
  1805.84485  9.56794684E-05  8.77644106E-06
  1831.01721  9.29894522E-05  8.33529884E-06
  1856.54065  9.03732944E-05  7.91630737E-06
  1882.41992  8.78292267E-05  7.51837069E-06
  1908.65979  8.53553211E-05  7.14043244E-06
  1935.2655  8.29496203E-05  6.781509E-06
  1962.24194  8.06107273E-05  6.4406704E-06
  1989.59473  7.83356518E-05  6.11688483E-06
  2017.32861  7.61241536E-05  5.81057247E-06
  2045.44897  7.39744573E-05  5.51868789E-06
  2073.96143  7.18843221E-05  5.24108373E-06
  2102.87134  6.98519798E-05  4.97744486E-06
  2132.18433  6.78759025E-05  4.72706188E-06
  2161.90576  6.59544748E-05  4.48927403E-06
  2192.0415  6.40863072E-05  4.26346514E-06
  2222.59741  6.22699445E-05  4.04902994E-06
  2253.57935  6.05038622E-05  3.84543091E-06
  2284.99292  5.87866998E-05  3.65212168E-06
  2316.84448  5.71171076E-05  3.46854836E-06
  2349.13989  5.54938124E-05  3.29422824E-06
  2381.8855  5.39155371E-05  3.12873021E-06
  2415.08789  5.23807976E-05  2.97156953E-06
  2448.75293  5.08883459E-05  2.8223767E-06
  2482.88721  4.94370288E-05  2.68069289E-06
  2517.49707  4.80257622E-05  2.54619999E-06
  2552.58984  4.66534293E-05  2.41850216E-06
  2588.17163  4.53188768E-05  2.29725106E-06
  2624.24927  4.40208751E-05  2.18213631E-06
  2660.82983  4.27583182E-05  2.07280959E-06
  2697.92041  4.15302129E-05  1.96907331E-06
  2735.52783  4.03353988E-05  1.87057697E-06
  2773.65967  3.91730428E-05  1.77703521E-06
  2812.323  3.80421334E-05  1.68823863E-06
  2851.52539  3.69417066E-05  1.60393699E-06
  2891.27393  3.58708567E-05  1.52387759E-06
  2931.57666  3.48285866E-05  1.44788191E-06
  2972.44141  3.38133941E-05  1.37570873E-06
  3013.87549  3.28248098E-05  1.30721253E-06
  3055.88745  3.18619277E-05  1.24217979E-06
  3098.48486  3.09237803E-05  1.1804417E-06
  3141.67603  3.0009458E-05  1.12182113E-06
  3185.46924  2.9118044E-05  1.06614812E-06
  3229.8728  2.82485689E-05  1.01328078E-06
  3274.89575  2.73995556E-05  9.63112143E-07
  3320.54614  2.65695453E-05  9.15460646E-07
  3366.83252  2.57579304E-05  8.70222436E-07
  3413.7644  2.49634559E-05  8.27262113E-07
  3461.35059  2.41845773E-05  7.86459054E-07
  3509.59961  2.34196832E-05  7.47719412E-07
  3558.52148  2.26669472E-05  7.10948427E-07
  3608.12549  2.19237045E-05  6.7600223E-07
  3658.4209  2.11826409E-05  6.42838472E-07
  3709.41724  2.04413118E-05  6.11348014E-07
  3761.12451  1.96916735E-05  5.81422171E-07
  3813.55249  1.89205584E-05  5.53001826E-07
  3866.71143  1.81035521E-05  5.26022347E-07
  3920.61133  1.71861175E-05  5.00399835E-07
  3975.26221  1.5947453E-05  4.76049507E-07
  4030.67554  1.15374287E-05  4.52897382E-07
  4086.86084  1.36098906E-05  3.91114099E-06
  4143.82959  1.55244252E-05  3.72435397E-06
  4201.59229  1.56457209E-05  3.54627582E-06
  4260.16016  1.55818525E-05  3.37637925E-06
  4319.54443  1.54276768E-05  3.21427456E-06
  4379.75635  1.52206903E-05  3.05965204E-06
  4440.80811  1.49782527E-05  2.91213064E-06
  4502.71045  1.4713195E-05  2.7714309E-06
  4565.47559  1.4434715E-05  2.6372968E-06
  4629.11572  1.41471546E-05  2.50942344E-06
  4693.64355  1.38537735E-05  2.38752841E-06
  4759.07031  1.35570099E-05  2.27135979E-06
  4825.40918  1.32587111E-05  2.16066405E-06
  4892.67285  1.29602031E-05  2.05518222E-06
  4960.87402  1.26622035E-05  1.95465918E-06
  5030.02588  1.23663785E-05  1.85891975E-06
  5100.14209  1.20734903E-05  1.76772846E-06
  5171.23486  1.17840536E-05  1.68088945E-06
  5243.31885  1.14984432E-05  1.59819865E-06
  5316.4082  1.12170028E-05  1.51944812E-06
  5390.51611  1.09400771E-05  1.44448563E-06
  5465.65723  1.06674943E-05  1.37311952E-06
  5541.84521  1.03998209E-05  1.30518276E-06
  5619.09521  1.01372025E-05  1.24052974E-06
  5697.42285  9.87971816E-06  1.17900561E-06
  5776.8418  9.62742524E-06  1.12046405E-06
  5857.36768  9.38034918E-06  1.06476762E-06
  5939.01611  9.13850181E-06  1.01176647E-06
  6021.80273  8.90175943E-06  9.6134238E-07
  6105.74316  8.67022391E-06  9.13380347E-07
  6190.85449  8.44390161E-06  8.67758843E-07
  6277.15186  8.22272523E-06  8.2437208E-07
  6364.65137  8.00667385E-06  7.83120981E-07
  6453.37158  7.79571019E-06  7.43895328E-07
  6543.32812  7.58975466E-06  7.06584501E-07
  6634.53809  7.38867357E-06  6.71116425E-07
  6727.02051  7.19238869E-06  6.37390315E-07
  6820.7915  7.00091277E-06  6.05327841E-07
  6915.86914  6.81414213E-06  5.74860223E-07
