 Fe Density=7.874
 Energy(eV), Delta, Beta
  30.  0.299820632  0.209373653
  30.4181843  0.293040991  0.202679574
  30.8421955  0.286254823  0.196199834
  31.2721214  0.279482007  0.189927116
  31.7080383  0.272724241  0.18385531
  32.150032  0.26599884  0.177976966
  32.5981827  0.259325415  0.172287151
  33.0525818  0.252711177  0.166779235
  33.5133171  0.246170118  0.161447138
  33.9804764  0.23972398  0.156268463
  34.4541473  0.233377844  0.151203215
  34.9344177  0.227017909  0.146231189
  35.4213829  0.220661223  0.141422808
  35.9151382  0.214348391  0.136772007
  36.4157791  0.208085284  0.132274419
  36.9233932  0.201874554  0.127924815
  37.4380875  0.195717201  0.123718061
  37.9599533  0.189614013  0.119649753
  38.4890938  0.183565065  0.115715049
  39.0256119  0.177543014  0.111910261
  39.5696068  0.171575069  0.108230032
  40.1211853  0.165669397  0.104671054
  40.6804543  0.159857303  0.10120821
  41.2475166  0.154086933  0.0977522731
  41.8224831  0.148259878  0.0942648947
  42.405468  0.142339706  0.0909016132
  42.9965744  0.136315823  0.0876585692
  43.5959282  0.13021116  0.08453127
  44.2036324  0.124028705  0.081515342
  44.8198051  0.117750123  0.078606993
  45.4445686  0.111351065  0.0758026317
  46.0780411  0.104799852  0.073098354
  46.7203445  0.0980565548  0.0704902336
  47.3715973  0.0910185575  0.0679755658
  48.0319328  0.0835538432  0.065550372
  48.7014732  0.0756056085  0.0632116869
  49.3803444  0.0670108199  0.060948953
  50.0686798  0.0574699193  0.058716394
  50.7666092  0.0464665592  0.0565127134
  51.4742699  0.0331962258  0.054561276
  52.1917915  0.0163505003  0.0537022948
  52.9193192 -0.0121397953  0.053574115
  53.6569862 -0.0550713167  0.0814445987
  54.4049339 -0.0553460307  0.138440549
  55.163311 -0.026975669  0.18432194
  55.9322586  0.00387108373  0.189371333
  56.7119217  0.0268277619  0.191016778
  57.5024567  0.0429863334  0.189653888
  58.3040123  0.0587348677  0.187739164
  59.1167336  0.0718135387  0.179993942
  59.9407921  0.0818168595  0.171720862
  60.7763329  0.0897744298  0.163038671
  61.6235237  0.0957461298  0.153806582
  62.4825172  0.0994221047  0.144544125
  63.3534927  0.101477563  0.135839581
  64.2366028  0.102328166  0.127658904
  65.1320343  0.102203645  0.119970791
  66.0399323  0.101197436  0.112746149
  66.960495  0.0990593508  0.106030174
  67.8938904  0.0963784903  0.10070166
  68.8402939  0.0939247981  0.0968111232
  69.7998886  0.0919431001  0.0930708125
  70.7728577  0.0900781229  0.089475058
  71.7593994  0.0882041231  0.0860181078
  72.7596817  0.0862659812  0.0826948583
  73.7739182  0.0841972828  0.0794999152
  74.8022842  0.0818268582  0.0766081735
  75.844986  0.0793749616  0.0742213428
  76.9022217  0.0773128122  0.0723443106
  77.9741974  0.0755047947  0.0705147386
  79.0611115  0.0738560632  0.0687314942
  80.1631851  0.072298646  0.066993311
  81.2806168  0.0708126202  0.0652990937
  82.4136276  0.0693843961  0.0636476874
  83.5624237  0.068004109  0.0620380715
  84.7272415  0.066664122  0.0604691841
  85.9082947  0.0653583184  0.0589399599
  87.1058121  0.0640804097  0.0574493706
  88.320015  0.0628145859  0.0559992604
  89.5511475  0.0615816414  0.0546232797
  90.7994385  0.0603896976  0.0532944538
  92.0651398  0.0592367128  0.0519979708
  93.3484802  0.0581164807  0.0507330261
  94.649704  0.0570245422  0.0494988076
  95.9690704  0.0559594408  0.0482946858
  97.3068314  0.0549200922  0.0471198186
  98.6632385  0.0539042316  0.0459735133
  100.038544  0.0529111773  0.0448551141
  101.433029  0.0519403704  0.0437639356
  102.846954  0.0509916134  0.0426992998
  104.280579  0.0500654615  0.041660551
  105.734192  0.049164895  0.0406471007
  107.208076  0.0482856147  0.0396431945
  108.702492  0.0474179126  0.0386607423
  110.217751  0.0465644188  0.0377019905
  111.754128  0.0457265899  0.0367670171
  113.311913  0.0449052975  0.0358552411
  114.891418  0.0441010855  0.0349660777
  116.492943  0.0433142856  0.0340989269
  118.116798  0.0425475836  0.0332533494
  119.763275  0.041801054  0.0324286856
  121.432716  0.0410772674  0.0316244885
  123.125427  0.0403841585  0.0308402535
  124.841721  0.0397285931  0.0300540682
  126.581955  0.0390940048  0.0292447414
  128.346436  0.0384326205  0.0284224954
  130.135513  0.0377600938  0.0276234131
  131.949539  0.037087325  0.0268467776
  133.788834  0.0364189148  0.0260919798
  135.653778  0.0357569009  0.025358405
  137.544724  0.0351029076  0.0246454459
  139.462021  0.0344582498  0.0239525251
  141.406052  0.0338241719  0.0232790913
  143.377167  0.0332024246  0.022624597
  145.375778  0.0325986855  0.0219885111
  147.402222  0.0320225023  0.021354666
  149.45694  0.0314432494  0.0207165871
  151.540268  0.0308576096  0.0200874656
  153.652664  0.0302718561  0.01947744
  155.794495  0.0296897404  0.0188859701
  157.966202  0.0291131884  0.0183124579
  160.168167  0.0285432935  0.0177563261
  162.400818  0.0279809926  0.0172171053
  164.664597  0.0274269637  0.0166942738
  166.95993  0.0268818475  0.0161873046
  169.287262  0.0263460521  0.0156957209
  171.647034  0.0258198641  0.0152190831
  174.039703  0.0253036171  0.0147569245
  176.465729  0.0247980971  0.014308773
  178.925552  0.0243040621  0.0138742551
  181.419678  0.0238223337  0.0134529369
  183.948563  0.0233543571  0.0130443973
  186.512726  0.0229031574  0.0126482649
  189.112595  0.0224779863  0.0122603737
  191.748734  0.0220865533  0.0118662808
  194.4216  0.0216754023  0.0114191044
  197.131729  0.0212429687  0.0109887505
